Codigo Departamento,Codigo Municipio,Municipio,Total ,Cabeceras,Centros poblados y rural disperso
15,15332,GÜICÁN DE LA SIERRA,48.1,13.3,63.9
15,15362,IZA,24.8,16.2,37.6
15,15367,JENESANO,38.8,17.6,46.6
15,15368,JERICÓ,64.7,26.2,79.6
15,15377,LABRANZAGRANDE,57.4,28.9,72.7
15,15380,LA CAPILLA,31.6,19.1,40.0
15,15401,LA VICTORIA,38.4,18.6,48.7
15,15403,LA UVITA,41.9,26.2,54.2
15,15407,VILLA DE LEYVA,15.2,11.6,19.6
15,15425,MACANAL,28.9,6.3,37.6
15,15442,MARIPÍ,67.0,27.8,72.9
15,15455,MIRAFLORES,21.1,11.7,35.0
15,15464,MONGUA,50.7,33.4,65.6
15,15466,MONGUÍ,28.8,20.4,41.3
15,15469,MONIQUIRÁ,27.1,12.8,43.5
15,15476,MOTAVITA,49.8,18.6,54.7
15,15480,MUZO,40.7,35.7,50.8
15,15491,NOBSA,10.5,8.7,11.4
15,15494,NUEVO COLÓN,46.2,19.2,52.7
15,15500,OICATÁ,22.8,11.3,24.7
15,15507,OTANCHE,44.7,29.9,58.2
15,15511,PACHAVITA,37.5,31.0,39.3
15,15514,PÁEZ,36.5,20.3,48.5
15,15516,PAIPA,16.2,10.0,26.4
15,15518,PAJARITO,27.8,20.4,34.5
15,15522,PANQUEBA,42.7,16.9,65.9
15,15531,PAUNA,47.4,23.8,58.4
15,15533,PAYA,68.2,29.3,78.9
15,15537,PAZ DE RÍO,21.6,11.8,40.0
15,15542,PESCA,39.3,17.3,50.6
15,15550,PISBA,57.9,31.9,70.8
15,15572,PUERTO BOYACÁ,33.6,30.0,42.9
15,15580,QUÍPAMA,64.6,37.9,76.3
15,15599,RAMIRIQUÍ,31.4,14.0,45.0
15,15600,RÁQUIRA,31.3,10.9,40.2
15,15621,RONDÓN,46.9,17.0,57.4
15,15632,SABOYÁ,41.8,16.4,44.1
15,15638,SÁCHICA,23.8,13.1,35.0
15,15646,SAMACÁ,21.5,14.3,26.2
15,15660,SAN EDUARDO,35.9,13.2,53.2
15,15664,SAN JOSÉ DE PARE,50.8,26.0,57.1
15,15667,SAN LUIS DE GACENO,31.4,16.1,44.9
15,15673,SAN MATEO,45.8,16.3,61.9
15,15676,SAN MIGUEL DE SEMA,35.6,22.1,37.8
15,15681,SAN PABLO DE BORBUR,53.7,25.7,57.4
15,15686,SANTANA,40.5,20.3,51.3
15,15690,SANTA MARÍA,29.0,16.4,51.1
15,15693,SANTA ROSA DE VITERBO,19.0,12.3,30.9
15,15696,SANTA SOFÍA,31.4,21.3,36.5
15,15720,SATIVANORTE,51.6,22.6,66.5
15,15723,SATIVASUR,29.7,9.6,37.5
15,15740,SIACHOQUE,45.1,23.7,49.5
15,15753,SOATÁ,17.3,9.2,39.1
15,15755,SOCOTÁ,52.9,17.3,61.3
15,15757,SOCHA,20.8,13.3,30.4
15,15759,SOGAMOSO,10.4,8.8,22.9
15,15761,SOMONDOCO,41.0,14.4,50.0
15,15762,SORA,55.3,23.4,62.1
15,15763,SOTAQUIRÁ,35.4,15.5,37.7
15,15764,SORACÁ,38.5,20.8,44.2
15,15774,SUSACÓN,37.1,11.7,44.6
15,15776,SUTAMARCHÁN,31.1,13.5,41.0
15,15778,SUTATENZA,47.4,16.1,54.7
15,15790,TASCO,31.4,16.6,37.4
15,15798,TENZA,41.1,13.4,53.2
15,15804,TIBANÁ,47.0,16.6,54.9
15,15806,TIBASOSA,14.3,10.9,16.3
